time,latit,longit,noise
18:31,47.6521789,-122.3106723,68
19:18,47.6153074,-122.3253283,74
15:52,47.6761323,-122.3174831,73
17:43,47.6800414,-122.3272941,61
16:06,47.6788635,-122.3311309,45
20:15,47.6619977,-122.2995123,75.1
16:21,47.6483328,-122.3472644,67.9
19:19,47.6148059,-122.3237518,74.3
17:14,47.6667995,-122.3173098,65.6
17:40,47.7188124,-122.3182244,61
23:03,47.6301546,-122.3475337,52
16:21,47.628654,-122.348908,55
15:10,47.6128252,-122.3135986,56.6
20:01,47.6124516,-122.3129532,58.9
20:04,47.6114542,-122.3129334,58.7
20:06,47.6110685,-122.3131186,47.1
20:08,47.6104761,-122.3129499,47.9
20:10,47.6103475,-122.3115819,51.7
20:12,47.610609,-122.3102817,49.6
20:14,47.6109384,-122.3102898,60.9
20:17,47.612038,-122.3102626,56.1
20:19,47.6127138,-122.3112389,68.2
7:24,47.628645,122.347606,52.9
9:25,47.6606476,-122.3251081,75.6
20:00,47.64877211,-122.3915144,44.2
10:20,47.644,-122.30357,69
10:45,47.65789,-122.30697,47.7
16:06,47.652924,-122.312263,63
16:10,47.652916,-122.313068,65
16:13,47.652473,-122.313603,70
16:16,47.651137,-122.304258,71
16:04,47.661542,-122.29272,64